ibge,csv_post_title,lng,lat,csv_post_post,csv_post_categories,csv_post_author,csv_post_slug,csv_post_type
110018,Pimenta Bueno - RO,-61.1909917,-11.6748235,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-11.6748235' lon='-61.1909917' z='11' width='300' height='300'],Munícipio,pimenta bueno-ro,pimenta-bueno-ro,municipio
110020,Porto Velho - RO,-63.90196,-8.7618253,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-8.7618253' lon='-63.90196' z='11' width='300' height='300'],Munícipio,porto velho-ro,porto-velho-ro,municipio
110025,Presidente Médici - RO,-61.9031511,-11.1718397,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-11.1718397' lon='-61.9031511' z='11' width='300' height='300'],Munícipio,presidente médici-ro,presidente-médici-ro,municipio
110026,Rio Crespo - RO,-62.9005071,-9.7053696,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-9.7053696' lon='-62.9005071' z='11' width='300' height='300'],Munícipio,rio crespo-ro,rio-crespo-ro,municipio
110028,Rolim de Moura - RO,-61.7797225,-11.7299266,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-11.7299266' lon='-61.7797225' z='11' width='300' height='300'],Munícipio,rolim de moura-ro,rolim-de-moura-ro,municipio
110029,Santa Luzia D'Oeste - RO,-61.7788268,-11.9095232,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-11.9095232' lon='-61.7788268' z='11' width='300' height='300'],Munícipio,santa luzia doeste-ro,santa-luzia-doeste-ro,municipio
110030,Vilhena - RO,-60.1309857,-12.7364877,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-12.7364877' lon='-60.1309857' z='11' width='300' height='300'],Munícipio,vilhena-ro,vilhena-ro,municipio
110032,São Miguel do Guaporé - RO,-62.6874995,-11.6934269,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-11.6934269' lon='-62.68749949999999' z='11' width='300' height='300'],Munícipio,são miguel do guaporé-ro,são-miguel-do-guaporé-ro,municipio
110033,Nova Mamoré - RO,-65.3270733,-10.4131389,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-10.4131389' lon='-65.3270733' z='11' width='300' height='300'],Munícipio,nova mamoré-ro,nova-mamoré-ro,municipio
110034,Alvorada D'Oeste - RO,-62.3694516,-11.4276117,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-11.4276117' lon='-62.3694516' z='11' width='300' height='300'],Munícipio,alvorada doeste-ro,alvorada-doeste-ro,municipio
110037,Alto Alegre dos Parecis - RO,-61.8515066,-12.1283787,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-12.1283787' lon='-61.85150659999999' z='11' width='300' height='300'],Munícipio,alto alegre dos parecis-ro,alto-alegre-dos-parecis-ro,municipio
110040,Alto Paraíso - RO,-63.2833988,-9.7453092,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-9.7453092' lon='-63.28339880000001' z='11' width='300' height='300'],Munícipio,alto paraíso-ro,alto-paraíso-ro,municipio
110045,Buritis - RO,-63.8295119,-10.2123697,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-10.2123697' lon='-63.82951190000001' z='11' width='300' height='300'],Munícipio,buritis-ro,buritis-ro,municipio
110050,Novo Horizonte do Oeste - RO,-61.9968834,-11.7099862,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-11.7099862' lon='-61.99688339999999' z='11' width='300' height='300'],Munícipio,novo horizonte do oeste-ro,novo-horizonte-do-oeste-ro,municipio
110060,Cacaulândia - RO,-62.8999191,-10.3418676,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-10.3418676' lon='-62.8999191' z='11' width='300' height='300'],Munícipio,cacaulândia-ro,cacaulândia-ro,municipio
110070,Campo Novo de Rondônia - RO,-63.6174775,-10.549576,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-10.549576' lon='-63.6174775' z='11' width='300' height='300'],Munícipio,campo novo de rondônia-ro,campo-novo-de-rondônia-ro,municipio
110080,Candeias do Jamari - RO,-63.7023562,-8.7818547,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-8.7818547' lon='-63.70235619999999' z='11' width='300' height='300'],Munícipio,candeias do jamari-ro,candeias-do-jamari-ro,municipio
110090,Castanheiras - RO,-61.9551727,-11.4279504,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-11.4279504' lon='-61.95517270000001' z='11' width='300' height='300'],Munícipio,castanheiras-ro,castanheiras-ro,municipio
110092,Chupinguaia - RO,-60.902299,-12.5501417,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-12.5501417' lon='-60.902299' z='11' width='300' height='300'],Munícipio,chupinguaia-ro,chupinguaia-ro,municipio
110094,Cujubim - RO,-62.5855042,-9.363369,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-9.363368999999999' lon='-62.58550419999999' z='11' width='300' height='300'],Munícipio,cujubim-ro,cujubim-ro,municipio
110100,Governador Jorge Teixeira - RO,-62.7347908,-10.6128756,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-10.6128756' lon='-62.7347908' z='11' width='300' height='300'],Munícipio,governador jorge teixeira-ro,governador-jorge-teixeira-ro,municipio
110110,Itapuã do Oeste - RO,-63.1655015,-9.1974737,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-9.1974737' lon='-63.1655015' z='11' width='300' height='300'],Munícipio,itapuã do oeste-ro,itapuã-do-oeste-ro,municipio
110120,Ministro Andreazza - RO,-61.5120653,-11.1984375,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-11.1984375' lon='-61.5120653' z='11' width='300' height='300'],Munícipio,ministro andreazza-ro,ministro-andreazza-ro,municipio
110130,Mirante da Serra - RO,-62.6786853,-11.027279,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-11.027279' lon='-62.67868530000001' z='11' width='300' height='300'],Munícipio,mirante da serra-ro,mirante-da-serra-ro,municipio
110140,Monte Negro - RO,-63.2872166,-10.2516437,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-10.2516437' lon='-63.28721659999999' z='11' width='300' height='300'],Munícipio,monte negro-ro,monte-negro-ro,municipio
110143,Nova União - RO,-62.5579605,-10.9079468,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-10.9079468' lon='-62.5579605' z='11' width='300' height='300'],Munícipio,nova união-ro,nova-união-ro,municipio
110145,Parecis - RO,-61.6035055,-12.1753793,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-12.1753793' lon='-61.6035055' z='11' width='300' height='300'],Munícipio,parecis-ro,parecis-ro,municipio
110146,Pimenteiras do Oeste - RO,-61.0390475,-13.4788452,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-13.4788452' lon='-61.0390475' z='11' width='300' height='300'],Munícipio,pimenteiras do oeste-ro,pimenteiras-do-oeste-ro,municipio
110147,Primavera de Rondônia - RO,-61.3194366,-11.8279137,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-11.8279137' lon='-61.3194366' z='11' width='300' height='300'],Munícipio,primavera de rondônia-ro,primavera-de-rondônia-ro,municipio
110148,São Felipe D'Oeste - RO,-61.5136216,-11.9062016,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-11.9062016' lon='-61.51362159999999' z='11' width='300' height='300'],Munícipio,são felipe doeste-ro,são-felipe-doeste-ro,municipio
110149,São Francisco do Guaporé - RO,-63.572084,-12.0404823,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-12.0404823' lon='-63.572084' z='11' width='300' height='300'],Munícipio,são francisco do guaporé-ro,são-francisco-do-guaporé-ro,municipio
110150,Seringueiras - RO,-63.0305721,-11.7484114,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-11.7484114' lon='-63.03057210000001' z='11' width='300' height='300'],Munícipio,seringueiras-ro,seringueiras-ro,municipio
110155,Teixeirópolis - RO,-62.2551282,-10.9340534,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-10.9340534' lon='-62.2551282' z='11' width='300' height='300'],Munícipio,teixeirópolis-ro,teixeirópolis-ro,municipio
110160,Theobroma - RO,-62.3520645,-10.2428691,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-10.2428691' lon='-62.3520645' z='11' width='300' height='300'],Munícipio,theobroma-ro,theobroma-ro,municipio
110170,Urupá - RO,-62.367976,-11.1156408,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-11.1156408' lon='-62.367976' z='11' width='300' height='300'],Munícipio,urupá-ro,urupá-ro,municipio
110175,Vale do Anari - RO,-62.1659231,-9.8639502,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-9.8639502' lon='-62.16592309999999' z='11' width='300' height='300'],Munícipio,vale do anari-ro,vale-do-anari-ro,municipio
110180,Vale do Paraíso - RO,-62.1298018,-10.427397,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-10.427397' lon='-62.1298018' z='11' width='300' height='300'],Munícipio,vale do paraíso-ro,vale-do-paraíso-ro,municipio
120001,Acrelândia - AC,-66.8864794,-9.8253759,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-9.8253759' lon='-66.8864794' z='11' width='300' height='300'],Munícipio,acrelândia-ac,acrelândia-ac,municipio
120005,Assis Brasil - AC,-69.5745747,-10.9426919,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-10.9426919' lon='-69.5745747' z='11' width='300' height='300'],Munícipio,assis brasil-ac,assis-brasil-ac,municipio
120010,Brasiléia - AC,-68.742604,-11.0069405,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-11.0069405' lon='-68.742604' z='11' width='300' height='300'],Munícipio,brasiléia-ac,brasiléia-ac,municipio
120013,Bujari - AC,-67.9475283,-9.8227403,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-9.8227403' lon='-67.9475283' z='11' width='300' height='300'],Munícipio,bujari-ac,bujari-ac,municipio
120017,Capixaba - AC,-67.6903366,-10.5609474,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-10.5609474' lon='-67.6903366' z='11' width='300' height='300'],Munícipio,capixaba-ac,capixaba-ac,municipio
120020,Cruzeiro do Sul - AC,-72.6503611,-7.6649023,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-7.664902299999999' lon='-72.6503611' z='11' width='300' height='300'],Munícipio,cruzeiro do sul-ac,cruzeiro-do-sul-ac,municipio
120025,Epitaciolândia - AC,-68.733681,-11.0166536,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-11.0166536' lon='-68.73368099999999' z='11' width='300' height='300'],Munícipio,epitaciolândia-ac,epitaciolândia-ac,municipio
120030,Feijó - AC,-70.3573399,-8.1670622,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-8.1670622' lon='-70.3573399' z='11' width='300' height='300'],Munícipio,feijó-ac,feijó-ac,municipio
120032,Jordão - AC,-71.8845394,-9.4343554,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-9.4343554' lon='-71.8845394' z='11' width='300' height='300'],Munícipio,jordão-ac,jordão-ac,municipio
120033,Mâncio Lima - AC,-72.8923397,-7.6222509,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-7.6222509' lon='-72.8923397' z='11' width='300' height='300'],Munícipio,mâncio lima-ac,mâncio-lima-ac,municipio
120034,Manoel Urbano - AC,-69.2801804,-8.8734112,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-8.873411200000001' lon='-69.28018039999999' z='11' width='300' height='300'],Munícipio,manoel urbano-ac,manoel-urbano-ac,municipio
120035,Marechal Thaumaturgo - AC,-72.7925412,-8.9413533,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-8.9413533' lon='-72.7925412' z='11' width='300' height='300'],Munícipio,marechal thaumaturgo-ac,marechal-thaumaturgo-ac,municipio
120038,Plácido de Castro - AC,-67.1884362,-10.2673205,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-10.2673205' lon='-67.1884362' z='11' width='300' height='300'],Munícipio,plácido de castro-ac,plácido-de-castro-ac,municipio
120039,Porto Walter - AC,-72.7445401,-8.2693522,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-8.269352200000002' lon='-72.7445401' z='11' width='300' height='300'],Munícipio,porto walter-ac,porto-walter-ac,municipio
120040,Rio Branco - AC,-67.807568,-9.9739989,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-9.9739989' lon='-67.807568' z='11' width='300' height='300'],Munícipio,rio branco-ac,rio-branco-ac,municipio
120042,Rodrigues Alves - AC,-72.6514392,-7.7303724,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-7.7303724' lon='-72.6514392' z='11' width='300' height='300'],Munícipio,rodrigues alves-ac,rodrigues-alves-ac,municipio
120043,Santa Rosa do Purus - AC,-70.4935352,-9.4333575,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-9.4333575' lon='-70.4935352' z='11' width='300' height='300'],Munícipio,santa rosa do purus-ac,santa-rosa-do-purus-ac,municipio
120045,Senador Guiomard - AC,-67.731961,-10.1479684,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-10.1479684' lon='-67.731961' z='11' width='300' height='300'],Munícipio,senador guiomard-ac,senador-guiomard-ac,municipio
120050,Sena Madureira - AC,-68.6593826,-9.0689075,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-9.0689075' lon='-68.6593826' z='11' width='300' height='300'],Munícipio,sena madureira-ac,sena-madureira-ac,municipio
120060,Tarauacá - AC,-70.7649772,-8.1356236,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-8.135623599999999' lon='-70.76497719999999' z='11' width='300' height='300'],Munícipio,tarauacá-ac,tarauacá-ac,municipio
120070,Xapuri - AC,-68.4945865,-10.6359712,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-10.6359712' lon='-68.4945865' z='11' width='300' height='300'],Munícipio,xapuri-ac,xapuri-ac,municipio
120080,Porto Acre - AC,-67.5508055,-9.5763223,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-9.5763223' lon='-67.5508055' z='11' width='300' height='300'],Munícipio,porto acre-ac,porto-acre-ac,municipio
130002,Alvarães - AM,-64.8045086,-3.2213464,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-3.2213464' lon='-64.80450859999999' z='11' width='300' height='300'],Munícipio,alvarães-am,alvarães-am,municipio
130006,Amaturá - AM,-68.1985213,-3.3643451,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-3.3643451' lon='-68.1985213' z='11' width='300' height='300'],Munícipio,amaturá-am,amaturá-am,municipio
130008,Anamã - AM,-61.4044943,-3.5803495,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-3.5803495' lon='-61.4044943' z='11' width='300' height='300'],Munícipio,anamã-am,anamã-am,municipio
130010,Anori - AM,-61.6444955,-3.7733502,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-3.7733502' lon='-61.6444955' z='11' width='300' height='300'],Munícipio,anori-am,anori-am,municipio
130014,Apuí - AM,-59.8909241,-7.1985289,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-7.198528899999999' lon='-59.8909241' z='11' width='300' height='300'],Munícipio,apuí-am,apuí-am,municipio
130020,Atalaia do Norte - AM,-70.1925286,-4.3723466,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-4.3723466' lon='-70.1925286' z='11' width='300' height='300'],Munícipio,atalaia do norte-am,atalaia-do-norte-am,municipio
130030,Autazes - AM,-59.1314836,-3.5803508,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-3.5803508' lon='-59.1314836' z='11' width='300' height='300'],Munícipio,autazes-am,autazes-am,municipio
130040,Barcelos - AM,-62.9245001,-0.9753386,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-0.9753386000000001' lon='-62.9245001' z='11' width='300' height='300'],Munícipio,barcelos-am,barcelos-am,municipio
130050,Barreirinha - AM,-57.0704719,-2.7933482,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-2.7933482' lon='-57.0704719' z='11' width='300' height='300'],Munícipio,barreirinha-am,barreirinha-am,municipio
130060,Benjamin Constant - AM,-70.0301751,-4.3760118,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-4.3760118' lon='-70.0301751' z='11' width='300' height='300'],Munícipio,benjamin constant-am,benjamin-constant-am,municipio
130063,Beruri - AM,-61.3734943,-3.8983498,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-3.8983498' lon='-61.3734943' z='11' width='300' height='300'],Munícipio,beruri-am,beruri-am,municipio
130068,Boa Vista do Ramos - AM,-57.5866686,-2.9715388,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-2.9715388' lon='-57.5866686' z='11' width='300' height='300'],Munícipio,boa vista do ramos-am,boa-vista-do-ramos-am,municipio
130070,Boca do Acre - AM,-67.3840816,-8.7406895,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-8.7406895' lon='-67.3840816' z='11' width='300' height='300'],Munícipio,boca do acre-am,boca-do-acre-am,municipio
130080,Borba - AM,-59.5944863,-4.3883539,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-4.388353899999999' lon='-59.59448630000001' z='11' width='300' height='300'],Munícipio,borba-am,borba-am,municipio
130083,Caapiranga - AM,-61.2094933,-3.3283486,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-3.3283486' lon='-61.2094933' z='11' width='300' height='300'],Munícipio,caapiranga-am,caapiranga-am,municipio
130090,Canutama - AM,-64.3835084,-6.5343578,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-6.5343578' lon='-64.3835084' z='11' width='300' height='300'],Munícipio,canutama-am,canutama-am,municipio
130100,Carauari - AM,-66.9000867,-4.8790675,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-4.879067500000001' lon='-66.9000867' z='11' width='300' height='300'],Munícipio,carauari-am,carauari-am,municipio
130110,Careiro - AM,-60.3455265,-3.8121211,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-3.8121211' lon='-60.3455265' z='11' width='300' height='300'],Munícipio,careiro-am,careiro-am,municipio
130115,Careiro da Várzea - AM,-59.8698401,-3.1921201,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-3.1921201' lon='-59.8698401' z='11' width='300' height='300'],Munícipio,careiro da várzea-am,careiro-da-várzea-am,municipio
130120,Coari - AM,-63.1417092,-4.0848815,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-4.0848815' lon='-63.1417092' z='11' width='300' height='300'],Munícipio,coari-am,coari-am,municipio
130130,Codajás - AM,-62.0574973,-3.8373502,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-3.8373502' lon='-62.05749729999999' z='11' width='300' height='300'],Munícipio,codajás-am,codajás-am,municipio
130140,Eirunepé - AM,-69.8673676,-6.6630445,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-6.6630445' lon='-69.8673676' z='11' width='300' height='300'],Munícipio,eirunepé-am,eirunepé-am,municipio
130150,Envira - AM,-70.0235309,-7.4333541,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-7.433354100000001' lon='-70.0235309' z='11' width='300' height='300'],Munícipio,envira-am,envira-am,municipio
130160,Fonte Boa - AM,-66.0925133,-2.5143434,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-2.5143434' lon='-66.0925133' z='11' width='300' height='300'],Munícipio,fonte boa-am,fonte-boa-am,municipio
130165,Guajará - AM,-72.7444492,-7.576581,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-7.576580999999999' lon='-72.74444919999999' z='11' width='300' height='300'],Munícipio,guajará-am,guajará-am,municipio
130170,Humaitá - AM,-63.0271717,-7.5061665,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-7.5061665' lon='-63.02717169999999' z='11' width='300' height='300'],Munícipio,humaitá-am,humaitá-am,municipio
130180,Ipixuna - AM,-71.6955356,-7.0513513,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-7.051351299999999' lon='-71.6955356' z='11' width='300' height='300'],Munícipio,ipixuna-am,ipixuna-am,municipio
130185,Iranduba - AM,-60.1789744,-3.2010506,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-3.2010506' lon='-60.17897439999999' z='11' width='300' height='300'],Munícipio,iranduba-am,iranduba-am,municipio
130190,Itacoatiara - AM,-58.442635,-3.1419812,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-3.1419812' lon='-58.442635' z='11' width='300' height='300'],Munícipio,itacoatiara-am,itacoatiara-am,municipio
130195,Itamarati - AM,-68.2535239,-6.4253536,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-6.425353599999999' lon='-68.25352389999999' z='11' width='300' height='300'],Munícipio,itamarati-am,itamarati-am,municipio
130200,Itapiranga - AM,-58.0224777,-2.7493476,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-2.7493476' lon='-58.0224777' z='11' width='300' height='300'],Munícipio,itapiranga-am,itapiranga-am,municipio
130210,Japurá - AM,-66.599515,-1.8263409,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-1.8263409' lon='-66.599515' z='11' width='300' height='300'],Munícipio,japurá-am,japurá-am,municipio
130220,Juruá - AM,-66.0695137,-3.4813466,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-3.4813466' lon='-66.0695137' z='11' width='300' height='300'],Munícipio,juruá-am,juruá-am,municipio
130230,Jutaí - AM,-66.7675169,-2.7473439,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-2.7473439' lon='-66.7675169' z='11' width='300' height='300'],Munícipio,jutaí-am,jutaí-am,municipio
130240,Lábrea - AM,-64.7992788,-7.2599727,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-7.2599727' lon='-64.7992788' z='11' width='300' height='300'],Munícipio,lábrea-am,lábrea-am,municipio
130250,Manacapuru - AM,-60.6343946,-3.2941768,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-3.2941768' lon='-60.6343946' z='11' width='300' height='300'],Munícipio,manacapuru-am,manacapuru-am,municipio
130255,Manaquiri - AM,-60.4255047,-3.3846073,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-3.3846073' lon='-60.4255047' z='11' width='300' height='300'],Munícipio,manaquiri-am,manaquiri-am,municipio
130260,Manaus - AM,-60.0264297,-3.1064093,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-3.1064093' lon='-60.02642969999999' z='11' width='300' height='300'],Munícipio,manaus-am,manaus-am,municipio
130270,Manicoré - AM,-61.3004954,-5.8093582,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-5.8093582' lon='-61.3004954' z='11' width='300' height='300'],Munícipio,manicoré-am,manicoré-am,municipio
130280,Maraã - AM,-65.5815111,-1.8563413,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-1.8563413' lon='-65.5815111' z='11' width='300' height='300'],Munícipio,maraã-am,maraã-am,municipio
130290,Maués - AM,-57.7204685,-3.3805046,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-3.3805046' lon='-57.7204685' z='11' width='300' height='300'],Munícipio,maués-am,maués-am,municipio
